"Name","Type","Write","Description","Object Default","Version"
"Device.","object","R","The top-level object for a Device.","-","2.0"
"Device.Services.","object","R","This object contains general services information.","-","2.0"
"Device.DeviceInfo.","object","R","This object contains general device information.","-","2.12"
"Device.DeviceInfo.VendorConfigFile.{i}.","object(0:)","R","Every instance of this object is a Vendor Configuration File, and contains parameters associated with the Vendor Configuration File.
This table of Vendor Configuration Files is for information only and does not allow the Controller to operate on these files in any way.
Whenever the Agent successfully restores a configuration file as a result of the Restore() Command, the Agent MUST update this Object.
At most one entry in this table can exist with a given value for Alias, or with a given value for Name.","-","2.0"
"Device.DeviceInfo.MemoryStatus.","object","R","Status of the device’s physical memory.","-","2.0"
"Device.DeviceInfo.ProcessStatus.","object","R","Status of the processes on the device.","-","2.0"
"Device.DeviceInfo.ProcessStatus.Process.{i}.","object(0:)","R","List of all processes running on the device.
At most one entry in this table can exist with a given value for PID.","-","2.0"
"Device.DeviceInfo.TemperatureStatus.","object","R","Status of the temperature of the device.","-","2.0"
"Device.DeviceInfo.TemperatureStatus.TemperatureSensor.{i}.","object(0:)","R","This object represents information that the device has obtained via sampling an internal temperature sensor.
At most one entry in this table can exist with a given value for Name, or with a given value for Alias.","-","2.0"
"Device.DeviceInfo.NetworkProperties.","object","R","This object defines the parameters that describe how the device handles network traffic.","-","2.0"
"Device.DeviceInfo.Processor.{i}.","object(0:)","R","Each table entry represents a hardware or virtual processor that resides on this device.
At most one entry in this table can exist with a given value for Alias.","-","2.1"
"Device.DeviceInfo.VendorLogFile.{i}.","object(0:)","R","Each table entry represents a Vendor Log File.
This table of log files is informational only and does not allow the Controller to operate on these files in any way.
At most one entry in this table can exist with a given value for Alias, or with a given value for Name.","-","2.1"
"Device.DeviceInfo.Location.{i}.","object(0:)","W","This object contains Location information.
At most one entry in this table can exist with the same values for both Source and ExternalSource. On creation of a new table entry, the Agent MUST (if not supplied by the Controller on creation) choose an initial value for ExternalSource such that the new entry does not conflict with any existing entries.","-","2.4"
"Device.DeviceInfo.DeviceImageFile.{i}.","object(0:)","R","This object describes an image of the device.
At most one entry in this table can exist with a given value for Location, or with a given value for Alias.","-","2.11"
